zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5714, -104), P2(5714, -104), HeightProb:80, HeightStatus:1, Dist:1953, PosDeDis1:2212, l_TrainResult:0, probability:4502
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5687, -89), P2(5687, -89), HeightProb:80, HeightStatus:1, Dist:1920, PosDeDis1:1968, l_TrainResult:0, probability:1978
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5688, -121), P2(5688, -121), HeightProb:80, HeightStatus:1, Dist:1920, PosDeDis1:1968, l_TrainResult:0, probability:1947
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5644, -141), P2(5644, -141), HeightProb:80, HeightStatus:1, Dist:1883, PosDeDis1:1934, l_TrainResult:0, probability:1824
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5604, 582), P2(5604, 582), HeightProb:80, HeightStatus:1, Dist:1860, PosDeDis1:1896, l_TrainResult:1, probability:5349
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5601, 18), P2(5601, 18), HeightProb:80, HeightStatus:1, Dist:1850, PosDeDis1:1902, l_TrainResult:0, probability:1765
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5603, -6), P2(5603, -6), HeightProb:80, HeightStatus:1, Dist:1850, PosDeDis1:1902, l_TrainResult:0, probability:2460
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5588, 284), P2(5588, 284), HeightProb:105, HeightStatus:1, Dist:1828, PosDeDis1:1858, l_TrainResult:0, probability:2809
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5559, -20), P2(5559, -20), HeightProb:80, HeightStatus:1, Dist:1797, PosDeDis1:1874, l_TrainResult:0, probability:1947
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5537, 10), P2(5537, 10), HeightProb:80, HeightStatus:1, Dist:1777, PosDeDis1:1826, l_TrainResult:0, probability:3407
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5537, 19), P2(5537, 19), HeightProb:80, HeightStatus:1, Dist:1767, PosDeDis1:1846, l_TrainResult:0, probability:2315
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5540, -5), P2(5540, -5), HeightProb:80, HeightStatus:1, Dist:1767, PosDeDis1:1846, l_TrainResult:0, probability:2973
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5518, 45), P2(5518, 45), HeightProb:80, HeightStatus:1, Dist:1747, PosDeDis1:1798, l_TrainResult:0, probability:4900
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5506, 46), P2(5506, 46), HeightProb:80, HeightStatus:1, Dist:1748, PosDeDis1:1816, l_TrainResult:0, probability:1795
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5509, 25), P2(5509, 25), HeightProb:80, HeightStatus:1, Dist:1748, PosDeDis1:1816, l_TrainResult:0, probability:2573
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5497, 59), P2(5497, 59), HeightProb:80, HeightStatus:1, Dist:1727, PosDeDis1:1770, l_TrainResult:0, probability:2932
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5496, 72), P2(5496, 72), HeightProb:80, HeightStatus:1, Dist:1727, PosDeDis1:1770, l_TrainResult:0, probability:2689
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5485, 74), P2(5485, 74), HeightProb:80, HeightStatus:1, Dist:1725, PosDeDis1:1786, l_TrainResult:0, probability:2460
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5462, 103), P2(5462, 103), HeightProb:80, HeightStatus:1, Dist:1703, PosDeDis1:1743, l_TrainResult:0, probability:2042
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5463, 123), P2(5463, 123), HeightProb:80, HeightStatus:1, Dist:1703, PosDeDis1:1743, l_TrainResult:0, probability:3274
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5452, 95), P2(5452, 95), HeightProb:80, HeightStatus:1, Dist:1693, PosDeDis1:1757, l_TrainResult:0, probability:2210
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5440, 122), P2(5440, 122), HeightProb:80, HeightStatus:1, Dist:1670, PosDeDis1:1712, l_TrainResult:0, probability:2042
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5440, 137), P2(5440, 137), HeightProb:80, HeightStatus:1, Dist:1670, PosDeDis1:1712, l_TrainResult:0, probability:2210
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5430, 101), P2(5430, 101), HeightProb:80, HeightStatus:1, Dist:1670, PosDeDis1:1731, l_TrainResult:0, probability:2423
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5407, 130), P2(5407, 130), HeightProb:80, HeightStatus:1, Dist:1648, PosDeDis1:1685, l_TrainResult:0, probability:2387
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5407, 148), P2(5407, 148), HeightProb:80, HeightStatus:1, Dist:1648, PosDeDis1:1685, l_TrainResult:0, probability:2611
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5383, 179), P2(5383, 179), HeightProb:80, HeightStatus:1, Dist:1613, PosDeDis1:1663, l_TrainResult:0, probability:2176
zhao_od_ID:4, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5383, 181), P2(5383, 181), HeightProb:80, HeightStatus:1, Dist:1613, PosDeDis1:1663, l_TrainResult:0, probability:2573
