Train_OD_Project,ObjName,HeightLabel,Direction,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosDeDis2,PosDeAmp2,PosCeDis1,PosCeAmp1,PosCeDis2,PosCeAmp2,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,AngleDist,TxSensID
Train_OD_HY11,路沿13cm2mid,0,front,2,9,978,2328,0,0,5100,0,0,0,910,1253,1253,7,7,143,136,10000,8421,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,978,2328,0,0,5100,0,0,0,911,2024,1864,5,4,143,138,10000,0,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1098,1909,0,0,5100,0,0,0,887,2100,2336,29,29,143,114,10000,10666,613,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1060,884,0,0,5100,0,0,0,817,1378,1378,75,73,190,115,10000,18684,573,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,787,1442,844,1402,0,0,0,0,683,1255,1255,146,146,333,187,10000,12460,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,724,857,0,0,0,0,0,0,594,2110,2038,104,104,381,277,10000,15079,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,682,905,0,0,5100,0,0,0,547,1738,1542,63,65,405,342,10000,12491,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,800,827,0,0,5100,0,0,0,530,1314,1212,40,40,405,365,10000,11923,477,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,665,876,0,0,0,0,0,0,494,1206,1206,58,59,440,382,10000,18135,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,3,1415,1973,0,0,5100,0,0,0,1338,1206,1206,123,119,500,377,10000,0,168,3
Train_OD_HY11,路沿13cm2mid,0,front,2,4,1463,1399,0,0,5100,0,0,0,1374,1206,1206,50,35,535,485,10000,9746,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,5,1564,1688,0,0,5100,0,0,0,1493,1827,1206,133,129,654,521,10000,10335,158,3
Train_OD_HY11,路沿13cm2mid,0,front,2,6,1564,1688,0,0,5100,0,0,0,1485,1830,1206,14,-1,654,640,10000,0,157,3
Train_OD_HY11,路沿13cm2mid,0,front,2,7,1619,1439,0,0,5100,0,0,0,1532,1783,1830,70,55,702,632,10000,10705,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,8,1729,1940,0,0,5100,0,0,0,1643,1698,1419,142,138,821,679,10000,10121,175,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1776,979,0,0,5100,0,0,0,1679,1822,1867,67,52,857,790,10000,9872,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1984,410,0,0,5100,0,0,0,1726,1518,1272,77,74,654,577,10000,10497,1028,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1900,645,0,0,5100,0,0,0,1822,1518,1272,123,96,619,496,10000,10467,165,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1900,645,0,0,5100,0,0,0,1818,1586,1166,16,16,500,484,10000,0,165,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1956,796,0,0,5100,0,0,0,1865,1321,1424,68,68,512,444,10000,10555,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1956,796,0,0,5100,0,0,0,1861,1071,1071,21,12,393,372,10000,0,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2145,369,0,0,5100,0,0,0,1909,1002,1071,65,64,441,376,10000,11863,1100,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2097,405,0,0,5100,0,0,0,1998,389,389,111,103,488,377,10000,9644,187,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2330,407,0,0,2273,290,0,0,2096,908,996,110,110,465,355,10000,10324,1205,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2532,304,0,0,2581,527,0,0,2467,395,395,381,381,798,417,10000,10555,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2692,264,0,0,2769,477,0,0,2623,632,550,165,161,906,741,10000,10420,253,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,2692,264,0,0,5100,370,0,0,2613,489,454,9,9,810,801,10000,0,253,3
